method,decomp_time,mult_time,num_clusters,is_correct,processed_clusters,graph_name,graph_type,num_nodes,sparsity
GPU METIS-BFS,0.8813402000000004,2.015999983996153e-06,2,True,2,Erdos-Renyi_10000_p_0.0001_graph_1,synthetic,10000,0.0001
METIS,0.12594430000000045,1.9519999623298645e-06,17,True,17,Erdos-Renyi_10000_p_0.0001_graph_1,synthetic,10000,0.0001
METIS-Like,0.1305570999999972,1.9839999731630087e-06,16,True,16,Erdos-Renyi_10000_p_0.0001_graph_1,synthetic,10000,0.0001
PageRank-BFS,6.310851800000002,1.9519999623298645e-06,48,True,31,Erdos-Renyi_10000_p_0.0001_graph_1,synthetic,10000,0.0001
GPU METIS-BFS,0.8521353000000005,1.9519999623298645e-06,2,True,2,Erdos-Renyi_10000_p_0.0001_graph_2,synthetic,10000,0.0001
METIS,0.12188289999999569,1.9839999731630087e-06,16,True,16,Erdos-Renyi_10000_p_0.0001_graph_2,synthetic,10000,0.0001
METIS-Like,0.12363729999999862,1.9519999623298645e-06,16,True,16,Erdos-Renyi_10000_p_0.0001_graph_2,synthetic,10000,0.0001
PageRank-BFS,6.468911399999996,1.9839999731630087e-06,50,True,34,Erdos-Renyi_10000_p_0.0001_graph_2,synthetic,10000,0.0001
GPU METIS-BFS,1.8615911999999923,1.9839999731630087e-06,11,True,11,Erdos-Renyi_10000_p_0.001_graph_1,synthetic,10000,0.001
METIS,0.38587770000000887,1.9519999623298645e-06,22,True,22,Erdos-Renyi_10000_p_0.001_graph_1,synthetic,10000,0.001
METIS-Like,0.4048085999999955,4.416000097990036e-06,20,True,20,Erdos-Renyi_10000_p_0.001_graph_1,synthetic,10000,0.001
PageRank-BFS,9.722588600000009,2.015999983996153e-06,18,True,18,Erdos-Renyi_10000_p_0.001_graph_1,synthetic,10000,0.001
GPU METIS-BFS,1.912707399999988,1.9839999731630087e-06,13,True,13,Erdos-Renyi_10000_p_0.001_graph_2,synthetic,10000,0.001
METIS,0.42051380000000904,2.3360000923275947e-06,22,True,22,Erdos-Renyi_10000_p_0.001_graph_2,synthetic,10000,0.001
METIS-Like,0.3740504999999814,2.015999983996153e-06,17,True,17,Erdos-Renyi_10000_p_0.001_graph_2,synthetic,10000,0.001
PageRank-BFS,9.135054700000012,1.9519999623298645e-06,17,True,17,Erdos-Renyi_10000_p_0.001_graph_2,synthetic,10000,0.001
